bonferroni_p_value,bootstrap_lower,bootstrap_upper,data_source,economic_result_basis,execution_cost_block,family,largest_contribution,losses,matched_events,matched_matches,mean_pnl,net_pnl,numeric_provenance,object,pnl_without_largest,q_value,raw_p_value,reject_reason,rule_id,sample_count,selection_eligible,time_interval,unit,wins
1.0,-52.268137499999995,21.380749999999992,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,563,1686,1686,-0.00904982206405693,-15.257999999999985,OBSERVED_VALUE,all_training_conditions,-14.343,0.9720775371442447,0.7875212478752125,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_ge_-4388,1,False,UNKNOWN,record,1123
1.0,-44.636874999999996,28.52067499999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,551,1686,1686,-0.004629300118623972,-7.8050000000000175,OBSERVED_VALUE,all_training_conditions,-6.88,0.9720775371442447,0.6695330466953304,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_ge_-52,1,False,UNKNOWN,record,1135
1.0,-48.085112499999994,24.444599999999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,554,1684,1684,-0.007044833729216149,-11.863499999999995,OBSERVED_VALUE,all_training_conditions,-10.938499999999998,0.9720775371442447,0.7382261773822618,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_ge_300,1,False,UNKNOWN,record,1130
1.0,-50.6016625,22.003699999999984,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,551,1652,1652,-0.008779055690072634,-14.50299999999999,OBSERVED_VALUE,all_training_conditions,-13.587999999999997,0.9720775371442447,0.7813218678132187,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_lt_-23,1,False,UNKNOWN,record,1101
1.0,-48.647099999999995,20.94091249999999,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,528,1585,1585,-0.008734384858044156,-13.843999999999987,OBSERVED_VALUE,all_training_conditions,-12.928999999999998,0.9720775371442447,0.7769223077692231,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_lt_-38,1,False,UNKNOWN,record,1057
1.0,-43.35511249999999,21.934524999999976,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,443,1330,1330,-0.007730451127819553,-10.281500000000005,OBSERVED_VALUE,all_training_conditions,-9.366499999999998,0.9720775371442447,0.7311268873112688,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_lt_-52,1,False,UNKNOWN,record,887
1.0,-51.63259999999999,21.863049999999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,563,1686,1686,-0.00904982206405693,-15.257999999999985,OBSERVED_VALUE,all_training_conditions,-14.343,0.9720775371442447,0.7894210578942106,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_lt_300,1,False,UNKNOWN,record,1123
1.0,-39.164225,17.905862499999994,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.905,348,1031,1031,-0.010561105722599412,-10.888499999999993,OBSERVED_VALUE,all_training_conditions,-9.983499999999998,0.9720775371442447,0.7729227077292271,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__level_eq_ATP,1,False,UNKNOWN,record,683
1.0,-26.975262499999996,17.924774999999993,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,215,655,655,-0.00667099236641222,-4.369500000000004,OBSERVED_VALUE,all_training_conditions,-3.4545000000000003,0.9720775371442447,0.6545345465453455,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__level_eq_WTA,1,False,UNKNOWN,record,440
1.0,-12.210687499999999,22.8711625,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,path_behavior,-0.881,147,361,361,0.014106648199446004,5.092500000000007,OBSERVED_VALUE,all_training_conditions,5.9735,0.9720775371442447,0.2836716328367163,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.05,1,False,UNKNOWN,record,214
1.0,-12.31771249999999,22.683237499999986,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.881,147,361,361,0.014106648199446004,5.092500000000007,OBSERVED_VALUE,all_training_conditions,5.9735,0.9720775371442447,0.27757224277572246,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.05__and__elapsed_seconds_ge_-23,1,False,UNKNOWN,record,214
1.0,-12.215787499999996,22.549587499999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.881,147,361,361,0.014106648199446004,5.092500000000007,OBSERVED_VALUE,all_training_conditions,5.9735,0.9720775371442447,0.2903709629037096,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.05__and__elapsed_seconds_ge_-38,1,False,UNKNOWN,record,214
1.0,-12.476562499999998,22.776424999999996,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.881,147,361,361,0.014106648199446004,5.092500000000007,OBSERVED_VALUE,all_training_conditions,5.9735,0.9720775371442447,0.2872712728727127,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.05__and__elapsed_seconds_ge_-4388,1,False,UNKNOWN,record,214
1.0,-12.738074999999995,22.6825125,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.881,147,361,361,0.014106648199446004,5.092500000000007,OBSERVED_VALUE,all_training_conditions,5.9735,0.9720775371442447,0.28547145285471454,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.05__and__elapsed_seconds_ge_-52,1,False,UNKNOWN,record,214
1.0,-12.358187499999994,22.826487499999992,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.881,147,361,361,0.014106648199446004,5.092500000000007,OBSERVED_VALUE,all_training_conditions,5.9735,0.9720775371442447,0.28247175282471754,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.05__and__elapsed_seconds_ge_300,1,False,UNKNOWN,record,214
,,,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,,0,0,0,,0.0,OBSERVED_VALUE,all_training_conditions,0.0,,,ZERO_MATCHES,absolute_change_ge_0.05__and__elapsed_seconds_lt_-23,1,False,UNKNOWN,record,0
